"Kategorie A";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Kmenta";"Dalibor";"FORCE KCK CYKLOTEAM ZLÍN";0;0;0;0;0
"Kokeš";"Pavel";"SK Valašského království";0;0;0;0;46
"Kolorz";"Mariusz Piotr";"AGK Rybnik";0;0;0;0;42
"Kopecký";"Tomáš";"Bike club Svitavy";0;36;0;0;0
"Kraèmar";"Petr";"Kolík& Hobby ""B""";0;0;0;0;0
"Køižák";"Petr";"Darkovice";0;0;0;60;0
"Kubala";"Janusz";"M3B racing team";46;54;36;42;39
"Lach";"Alan";"Racing Olešná ""A""";0;50;32;0;0
"Lazecký";"Petr";"Novatop Lapierre";0;0;0;0;32
"LOVEÈEK";"Martin";"Chirex cycling team";0;0;31;0;0
"Lysek";"Vladimír";"CK Continental Frenštát p. R. ""A""";0;65;39;35;0
"Machotka";"Karel";"YOGI Racing Ostrava 1";"DNF";60;37;0;38
"Odvárka";"Ivo";"FORCE KCK CYKLOTEAM ZLÍN";60;0;60;37;40
"Rylich";"Václav";"CK Orlík Orlová";0;0;0;0;0
"Sokol";"Pavel";"Cyklokramo Suchdol nad Odrou ""A""";0;45;25;36;33
"Šimeèek";"Radim";"Midar Pøíbor";0;39;21;27;31
"Škarka";"Jiøí";"Kolík& Hobby ""A""";38;40;24;29;36
"Šnajder ";"Roman";"Racing Olesná";0;47;0;28;0
"Tihlaøík";"Stanislav";"Cyklistika pro všechny Krnov";0;0;0;0;0
"Vymazal";"Igor";;0;0;0;0;0
"Wala";"Petr";"CK Feso Petøvald";0;0;0;0;0
"Wenzel";"Roman";"MaxCursor";0;0;30;0;37
"Wilhelm";"Jaroslav";"Kolík& Hobby ""B""";40;37;22;"DNF";0
;;;;;;;
"Kategorie D";14;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"èas. AM";"Krnov";"M.J.F.";"TdS"
"Adamèík";"Miroslav";"Cyklokramo Suchdol nad Odrou ""A""";44;65;44;40;35
"Babiánek";"Milan";"Kalas racing team";0;0;0;0;19
"Baier";"Jan";"Kolík& Hobby ""B""";0;0;31;42;44
"Baran";"Petr";"M3B racing team";42;60;40;46;48
"Boguslaw";"Piotr";"AXIS FORMULA  TEAM ";0;0;0;0;21
"Hinner";"Jiøí";"ACK Stará Ves nad Ondøejnicí";0;0;0;0;17
"Hlavatík";"Ladislav";"Racing Olešná ""A""";35;49;32;24;0
"Holeš";"Jiøí";"Kolík& Hobby ""B""";30;39;26;0;20
"Chmura";"Petr";"Team Forman Cinelli";0;42;25;37;37
"Jakl";"Jiøí";"Triatlon klub Ostrava";0;37;20;0;0
"Kaszuba";"Miros³aw";"Kolík& Hobby ""C""";0;52;36;0;0
"Knytl";"Vojtìch";"Cyklokramo Suchdol nad Odrou ""A""";0;36;33;0;0
"Koneèný ";"Pavel";"Kolík& Hobby ""A""";0;44;34;35;0
"Kontúr";"Milan";"SK Valašského království";27;43;21;0;22
"Kopøiva";"Miroslav";"CK Continental Frenštát p. R. ""B""";29;47;24;"DNF";27
"Kotas";"Pavel";"Frenštát";0;0;0;25;0
"Krawczyk";"Andrzej";;32;0;30;23;30
"Krchòák";"Pavel";"ACK Stará Ves nad Ondøejnicí";33;46;0;34;31
"Lawicki";"Dariusz";"CZERNICA MASTERS";36;48;35;39;36
"Legerský";"Jiøí";"TJ TŽ Tøinec";0;35;0;27;0
