Kategorie A;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Pekarèík;Jiøí;Cyklokramo Suchdol nad Odrou;40;23;0;39;0
Pilecki;Stanislav;Cykloservis MB;0;0;0;0;0
Rovenskı;Ladislav;YOGI Racing Ostrava 2;0;0;0;0;0
Savka;Miroslav;CK Orlík Orlová;0;0;0;0;30
Skotnica;Josef;SKP Opava;0;24;28;38;0
Tešnar;Tomáš;YOGI Racing Ostrava 1;0;31;0;0;39
Toman;Vladislav;Cyklokramo Suchdol nad Odrou;0;42;44;46;0
Veselı;Petr;TJ T Tøinec  ;42;27;30;48;0
Zdanowicz;Marek;CK Kolík Hobby Bohumín A ;46;37;0;0;44
Zemánek;Lubomír;2K-BIKE CLUB Odry;0;48;0;60;50
;;;;;;;
Kategorie ;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Bartošová;Denisa;CK Kolík Hobby Bohumín A;0;48;0;40;40
Buèíková;Hana;ACS DRAK VRBNO;40;40;38;35;34
Dohnalová;Jaroslava;Cyklistika pro všechny Krnov;50;0;0;38;0
Gruchalová;Lucie;Lowell Pro Šafrata Team Bohumín;0;0;50;0;0
Husièková;Zdeòka;Skvìlá kola ;48;42;0;46;42
Chmurová;Jana;Team Forman Cinelli;44;44;44;44;39
Jaklová;Ivana;Lowell Pro Šafrata Team Bohumín;0;0;0;0;48
Lantová ;Romana;Cyklistika pro všechny Krnov;0;0;0;0;38
Lantová ;Romana;Cyklistika pro všechny Krnov;0;0;0;0;36
Pechová;Vlaïka;KILPI RACING TEAM OSTRAVA ;60;0;48;0;46
Pytlová;Markéta;SK Bagbike ;0;0;0;0;0
Rygelová;Markéta;KILPI RACING TEAM OSTRAVA ;0;0;0;0;0
Sladkovská;Petra;CK Continental Frenštát p. R.  2;0;0;0;0;0
Weglarzová;Kristına;CK Feso Petøvald;0;38;39;37;35
;;;;;;;
Kategorie M;12;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
Czernek;Pawel;TJ T Tøinec;0;0;0;0;0
Hašek;Max;SK Bagbike;0;0;38;0;0
Huráè;Vojtìch;CK Feso Petøvald;0;50;0;40;55
Kotra;Vojtìch;CK Feso Petøvald;0;48;37;42;50
Mazur;Dominik;Cyklistika pro všechny Krnov;0;0;0;0;0
Pìgøim;Filip;TJ T Tøinec;46;0;0;0;0
Swaczyna;Tomáš;CK Feso Petøvald;0;60;0;0;0
Vahalík;Jan;Cyklokramo Suchdol nad Odrou;39;0;35;0;44
Winkler;Jakub;Cyklosport HF Opava-Bikestyle.cz;0;0;0;46;0
;;;;;;;
Drustva;14;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Bílovec;KrnKrit;BohÈas
ACK Stará Ves nad Ondøejnicí;;;98;110;119;130;97
CC La´DRACO;;;0;29;141;0;55
CK Continental Frenštát p. R.  1;;;131;127;64;118;126
CK Continental Frenštát p. R.  2;;;36;36;36;34;59
CK Feso Petøvald;;;0;158;127;124;140
CK Kolík Hobby Bohumín A;;;46;134;118;40;124
