Kategorie A;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Uvíra;Václav;_CK Orlík Orlová;0;0;0;0;36;0;0
;;;;;;;;;
Kategorie C;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Adámek;František;_ACS DRAK VRBNO;23;32;0;0;0;0;0
Babán;Marcel;_Cykloservis MB;0;0;30;0;34;0;50
Beníèek;Tomáš;_CK Continental Frenštát p.R.  2;0;0;19;0;17;0;35
Blahut;Radek;SK MAXBIKE;0;0;60;0;30;42;44
Cienciala;Bronislav;_TJ T Tøinec;0;0;0;0;20;0;43
Èermák;Jan;_SK Bagbike Rubing;0;0;0;0;0;0;0
Èervenı;Lukáš;_Cykloservis MB;0;0;0;0;0;0;0
Fierla;Jan;_CK Feso Petøvald;27;31;23;0;0;28;0
Fryc;Bohdan;_KILPI RACING TEAM OSTRAVA;38;0;26;0;31;29;48
Galuška;Tomáš;_FORCE KCK ZLÍN;40;46;42;25;36;40;58
Gierc;David;;0;0;27;0;26;0;39
Harabiš;Radim;SK Valašského království;0;0;0;0;0;0;36
Hrubı;Martin;_SK Bagbike Rubing;33;44;44;0;35;0;47
Janczura;Piotr;_DAR BUD TEAM;0;39;46;0;0;0;0
Jaroš;Martin;_Racing Olešná;0;0;0;0;32;0;45
Kaiser;Zdenìk;_KILPI RACING TEAM OSTRAVA;0;38;37;0;23;25;0
Karásek;Jiøí;_Racing Olešná;0;0;34;0;22;26;37
Klášterka;Tomáš;_CK Continental Frenštát p.R.  1;60;60;50;0;0;55;0
Koláèek;Petr;_CK Feso Petøvald;0;0;0;0;0;0;0
Kolorz;Mariusz;"_CK Kolík Hobby Bohumín ""A""";0;0;31;0;0;0;0
Kubala;Janusz;_Cykloservis MB;0;36;0;0;39;0;54
Machotka;Karel;_YOGI Racing Ostrava 1;48;0;0;0;55;48;70
Majtner;Petr;_Skvìlá kola;0;0;0;0;24;0;49
Míèek;Roman;_ACS DRAK VRBNO;24;35;0;0;0;27;0
Odvárka;Ivo;_FORCE KCK ZLÍN;50;42;40;60;42;60;65
Onderka;Milan;_YOGI Racing Ostrava 1;44;0;32;0;37;38;52
Orzadala;Patrik;SKP Ostrava;32;0;29;0;0;0;0
Pietrzyk;Vratislav;_Skvìlá kola;0;0;48;0;46;0;60
Pytel;Jaromír;_SK Bagbike Rubing;55;50;0;0;0;0;56
Sedláø;Milan;CYKLOTEAM ZLÍN;0;37;0;0;0;0;0
Schnerch;Martin;_Skvìlá kola;30;40;36;0;29;32;46
Sieja;Jiøí;_YOGI Racing Ostrava 2;0;0;0;0;0;0;0
Sucharda;Pavel;_CYCLING BRNO;0;0;0;0;0;0;0
Swaczyna;Patrik;_CK Feso Petøvald;0;33;38;0;0;0;0
Šváb;Miroslav;_CYCLING BRNO;0;0;0;0;60;0;0
Švan;Miroslav;_ACS DRAK VRBNO;0;0;0;0;0;0;0
Vodièka;Václav;_CYCLING BRNO;0;0;0;0;50;0;0
Wilhelm;Jaroslav;"_CK Kolík Hobby Bohumín ""A""";0;0;0;0;0;0;41
Wyszynski;Dariusz;_DAR BUD TEAM;0;0;24;0;0;0;0
Zámeèník;Ivo;_CK Continental Frenštát p.R.  1;31;0;33;0;0;37;0
;;;;;;;;;
Kategorie D;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Adamèík;Miroslav;_Cyklokramo Suchdol nad Odrou;0;42;0;0;44;0;70
Baèík;Pavel;_2K-BIKE CLUB Odry;0;0;0;0;0;0;0
Baran;Petr;_SK Bagbike Rubing;0;0;0;0;40;38;58
Beneš;Petr;_YOGI Racing Ostrava 1;0;0;0;0;0;0;0
Boszczyk;Norbert;_Skvìlá kola;0;0;0;0;0;0;0
Daòhel;Mojmír;_Cyklistika pro všechny Krnov;0;50;39;38;46;60;56
Franta;Roman;_Racing Olešná;0;0;0;0;0;0;46
Holeš;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;0;0;25;28;0
Hrazdílek;Alois;_CK Kolík Hobby Bohumín „A“;0;30;28;0;28;0;35
Chmura;Petr;_Team Forman Cinelli;35;34;0;0;0;34;40
Jakl;Jiøí;;30;33;32;0;29;20;38
Kaszuba;Miroslav;"_CK Kolík Hobby Bohumín ""A""";0;0;34;0;42;36;0
Koneènı;Pavel;"_CK Kolík Hobby Bohumín ""A""";46;40;42;42;34;50;0
Kontúr;Milan;MIKONT Frenštát pod Radhoštìm;29;37;36;0;31;21;41
Kopøiva;Miroslav;_CK Continental Frenštát p.R.  1;28;0;25;0;37;0;45
Krawczyk;Andrzej;_CZERNICA MASTERS;33;0;50;0;0;22;0
Krchòák;Pavel;_ACK Stará Ves nad Ondøejnicí;0;0;0;0;32;0;34
Lajèok;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;0;0;0;0;0
Lawicki;Dariusz;_CZERNICA MASTERS;0;0;38;16;35;30;44
Lysek;Vladimír;_CK Continental Frenštát p.R.  1;0;46;35;0;60;37;60
Míèek;Oldøich;_2K-BIKE CLUB Odry;38;35;0;0;0;48;0
Motyka;Tomáš;_KILPI RACING TEAM OSTRAVA;0;44;24;14;33;0;39
Mück;Arnošt;_2K-BIKE CLUB Odry;0;0;0;0;0;0;0
Niemczyk;Jan;_TJ T Tøinec;0;31;0;0;26;25;42
Nováèek;Pavel;_Racing Olešná;0;0;0;0;0;27;36
Novák;Milan;_YOGI Racing Ostrava 1;48;0;37;0;36;46;49
Pavlík;Petr;_Racing Olešná;0;0;0;0;27;0;37
Pelc;Ladislav;_FORCE KCK ZLÍN;55;60;60;46;50;0;65
Petruš;Lubomír;_ACS DRAK VRBNO;39;0;0;0;0;39;0
Praski;Henryk;"_CK Kolík Hobby Bohumín ""B""";0;0;44;0;39;0;50
Rumiñski;Stanislaw;_CZERNICA MASTERS;34;0;33;11;0;24;0
Rupa;Miroslav;SK Jiøí team Ostrava;31;32;0;0;0;0;48
Satinskı;Alexandr;_YOGI Racing Ostrava 1;50;36;30;34;38;44;52
Schichel;Tomáš;_YOGI Racing Ostrava 2;0;0;0;0;0;0;0
Slezák;Josef;_FORCE KCK ZLÍN;0;0;0;0;0;0;0
Šimoòák;Marek;_ACK Stará Ves nad Ondøejnicí;0;0;0;0;0;0;0
Škarka;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;29;0;0;26;0
Špaèek;Petr;Tım VSK Vsetín;44;38;40;0;0;40;0
Švantner ;Bohuslav;_Racing Olešná;0;0;0;0;0;0;0
Vyoral;Lubomír;"_CK Kolík Hobby Bohumín ""A""";0;0;27;0;0;0;33
Wawrzynkiewicz;Edward;_CZERNICA MASTERS;40;0;55;36;0;55;0
Zátopek;Zdenìk;;0;29;0;0;0;0;0
Zvoníèek;Radomír;_FORCE KCK ZLÍN;42;39;48;29;0;35;0
;;;;;;;;;
Kategorie E;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Bárta;Miroslav;_SK Bagbike Rubing;0;0;0;0;0;0;0
Baa;Vladimír;KCK cykloteam Zlín;0;0;0;0;0;0;0
Bluszcz;Stefan;_Lowell Pro Šafrata Team Bohumín;0;0;33;25;33;0;0
Danìèek;Pavel;_Cyklistika pro všechny Krnov;60;60;39;50;44;55;60
Ertel;Jiøí;_YOGI Racing Ostrava 2;0;48;40;0;42;39;47
Glogar;Jan;_YOGI Racing Ostrava 2;0;0;0;0;24;0;0
Hlavatík;Ladislav;_Racing Olešná;50;0;34;0;46;0;52
Homola;Petr;_YOGI Racing Ostrava 2;0;0;0;0;28;35;38
Jankowski;Aleksander;_ACK Stará Ves nad Ondøejnicí;44;0;0;37;38;44;49
Kubík;Josef;"_CK Kolík Hobby Bohumín ""B""";0;0;0;0;31;32;40
Leszczynski;Ksawery;"_CK Kolík Hobby Bohumín ""B""";0;0;0;0;60;0;58
Masnı;Milan;_Racing Olešná;0;0;0;0;50;0;70
Misina;Andrzej;_ACK Stará Ves nad Ondøejnicí;48;55;48;46;34;50;45
Mottl;Bohumír;"_CK Kolík Hobby Bohumín ""A""";0;0;36;0;35;48;46
Mrakvia;Zdenìk;_TJ T Tøinec;0;0;27;0;25;31;36
Mrnùštík;Josef;Cyklotech-Pro a Mrnùštík;0;46;30;0;29;33;39
Mrozek;Jiøí;"_CK Kolík Hobby Bohumín ""B""";0;0;35;0;36;46;0
Pavlík;Jiøí;_CK Continental Frenštát p.R.  1;0;0;50;0;40;0;56
Pìgøimek;Milan;_CK Orlík Orlová;0;0;0;0;30;0;42
Pekarèík;Jiøí;_Cyklokramo Suchdol nad Odrou;38;44;31;0;26;30;37
Pilecki;Stanislav;_Cykloservis MB;0;0;0;0;0;0;0
Rovenskı;Ladislav;_YOGI Racing Ostrava 2;0;0;0;0;0;0;0
Savka;Miroslav;_CK Orlík Orlová;0;0;29;0;27;0;41
Schneider;Rudolf;_CK Continental Frenštát p.R.  2;0;50;38;0;37;0;54
Skotnica;Josef;SKP Opava;0;42;26;0;0;0;0
Tešnar;Tomáš;_YOGI Racing Ostrava 1;46;0;44;0;39;0;50
Toman;Vladislav;_Cyklokramo Suchdol nad Odrou;0;0;55;0;0;0;0
Veselı;Petr;_TJ T Tøinec  ;42;0;37;0;32;40;44
Zdanowicz;Marek;_CZERNICA MASTERS;0;0;32;39;48;42;48
Zemánek;Lubomír;_2K-BIKE CLUB Odry;0;0;60;55;55;60;65
;;;;;;;;;
Kategorie ;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Bartošová;Denisa;"_CK Kolík Hobby Bohumín ""A""";0;55;0;60;0;0;0
Buèíková;Hana;_ACS DRAK VRBNO;31;0;39;0;35;0;47
Danìèková;Romana;_Cyklistika pro všechny Krnov;0;0;44;0;0;0;0
Dohnalová;Jaroslava;_Cyklistika pro všechny Krnov;40;0;0;40;42;44;60
Frantová;Kateøina;_CK Feso Petøvald;0;0;0;0;0;0;0
Gruchalová;Lucie;_Lowell Pro Šafrata Team Bohumín;50;0;60;0;50;60;70
Halmová;Eva;_CK Orlík Orlová;0;0;0;0;0;0;0
Husièková;Zdena;_Skvìlá kola;33;37;42;0;48;40;56
Chmurová;Jana;_Team Forman Cinelli;39;40;46;0;39;46;58
Jaklová;Ivana;_Lowell Pro Šafrata Team Bohumín;38;0;48;38;46;48;65
Lantová;Romana;_Cyklistika pro všechny Krnov;0;38;0;0;38;0;48
Lantová;Romana;_Cyklistika pro všechny Krnov;32;36;40;27;37;35;49
Líbenková;Sylva;_CK Feso Petøvald;0;0;0;0;0;36;0
Pargaèová;Marcela;_Cyklokramo Suchdol nad Odrou;0;0;0;0;0;0;52
Pytlová;Markéta;_SK Bagbike Rubing;0;0;50;0;40;37;54
Sladkovská;Petra;_CK Continental Frenštát p.R.  2;0;0;0;0;36;0;50
;;;;;;;;;
Kategorie M;13;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM
Haladus;Szymon;_Cyklistika pro všechny Krnov;0;0;0;0;0;0;0
Míèek;Oldøich;TJ Sigma Hranice;0;19;0;0;0;0;0
Pìgøim;Filip;_TJ T Tøinec;44;0;60;0;55;48;0
Swaczyna;Tomáš;_CK Feso Petøvald;42;0;0;0;0;0;0
Trachtulec;Petr;_CK Feso Petøvald;60;39;0;0;0;0;0
