"Kategorie A";14;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"MJF";"KrnKrit";"StonÈD";"Krnov";"TdS"
"MÍÈEK";"Ondøej";"Forman Cinelli";0;16;39;0;0;"DNF"
"Mièinec";"Jan";"ACK Stará Ves nad Ondøejnicí";0;0;0;0;0;0
"MLYNÁØ ";"zdenìk";"Bohemia cycling tream";0;0;0;0;50;0
"Motyka";"Patrik";"A Bike Club Ostrava ""B""";0;9;27;0;6;16
"Motyka";"Adam";"A Bike Club Ostrava ""A""";27;35;33;0;18;21
"Musiol";"Jakub";"YOGI Racing Ostrava 2";0;0;28;0;0;0
"NASET";"Jan";"In Life Cycling Team";24;0;0;0;19;0
"Nepraš";"Karel";"ACK Stará Ves nad Ondøejnicí";50;39;46;0;0;35
"NEVÍDAL";"Ondøej";"Bohuòovice";40;0;0;0;0;0
"Pac";"Pawel";;0;0;44;0;0;0
"PAPULA ";"Lukáš";"TJ Unièov";0;0;0;0;32;0
"PARMA";"Krzysztof";"SANBank";0;17;0;0;0;0
"Pavlík";"Petr";"Racing Olešná ""A""";0;0;0;0;0;0
"Pavlík";"Jan";"Racing Olešná ""A""";0;22;0;0;0;22
"PAWLAK";"Grzegorz";"Author Pszczyna";0;55;0;0;42;0
"Pešek ";"Radim";"A Bike Club Ostrava ""B""";0;0;0;0;0;0
"PLUNDRÁK";"David";"Cyklo TJ Píseèná";33;0;0;0;0;0
"Poláèek";"Michal";"A Bike Club Ostrava ""B""";0;0;0;0;0;0
"Polášek";"Adam";"A Bike Club Ostrava ""B""";0;0;0;0;0;0
"PRUCIAK";"Rafal";;23;0;0;0;0;0
"PYTEL ";"jaromír";"SK Bagbike";0;0;0;0;27;34
"Reichel";"Sebastian";"Cyklistika pro všechny Krnov";0;0;0;0;0;0
"ROHEL";"Bøetislav_ml";"Bikestyle.cz";0;42;0;0;0;0
"SALAMON";"Marek";"CK Feso Petøvald";0;13;0;0;0;0
"SAS ";"Kryštof";"Mountaintime.cz";0;0;0;0;17;0
"SATKE ";"Tomáš";"bikecentrum olomouc";0;0;0;0;36;0
"SEDLÁÈEK";"Marek";"SK Jiøí team Ostrava";0;38;29;0;0;15
"SVÌNTİ ";"Radek";"Bikomatic";0;0;0;0;35;33
"SZCZEPANOWSKI";"Bartosz";"Experiment 23";0;0;55;0;44;0
"SWACZYNA";"Petr";"CK Feso Petøvald";35;12;0;0;23;42
"Szlauer";"David";"Skvìlá kola-TJ T Tøinec  ""B""";21;8;0;0;3;0
"Szymanski";"Patrik";"Grupa Kolarska Gliwice Bike";0;0;32;0;0;0
"Škoda";"Kristián";"CK Continental Frenštát p.R.  1";28;37;0;0;0;0
"Škuta ";"Vlastimil";"CK Kolík Hobby Bohumín""B""";0;0;0;0;0;0
"ŠRÁMEK";"Vít";"Majnl dance hall";0;0;"DNF";0;0;0
"Toman";"Jiøí";"Forman Cinelli";0;14;0;0;0;0
"Tomek";"Josef";"Experiment 23";0;0;"DNF";0;0;0
"URBÁŠEK ";"Jan";"Experiment 23";0;0;0;0;26;0
"VAŠÁK";"Vít";"SK Jiøí Team Ostrava";19;0;25;0;4;0
"VAVREÈKA ";"Jiøí";"Quint bike";0;0;0;0;0;11
"Veleckı";"Tomáš";"YOGI Racing Ostrava 1";0;0;0;0;0;0
"VLÈEK ";"Pavel";"IN-LIFE Cycling team";0;0;0;0;10;0
"VYBÍRAL ";"Lukáš";"Silnı Team Unièov";0;0;0;0;11;0
"WALA";"Jan";"LMGKK Zemia Brzeska";48;0;34;0;33;0
"WIDAWSKI";"Pawel";;29;0;0;0;0;26
"Willmann";"Filip";"A Bike Club Ostrava ""A""";26;10;0;0;0;18
"Záruba";"Petr";"ACK Stará Ves nad Ondøejnicí";42;31;31;0;20;44
"Záruba";"Pavel";"ACK Stará Ves nad Ondøejnicí";38;26;36;0;38;0
"eravík";"Vojtìch";;0;0;0;0;0;0
;;;;;;;;
"Kategorie B";14;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"MJF";"KrnKrit";"StonÈD";"Krnov";"TdS"
"Adámek";"Lukáš";"CK Feso Petøvald";39;38;0;0;39;38
"ADÁMEK";"Jan ";"Olomouc";37;0;0;0;0;46
"Androsz";"Michal";"CK Kolík Hobby Bohumín""B""";"DNF";36;37;0;0;21
"Babán";"Marcel";"Cykloservis MB";0;0;0;0;0;0
"Beníèek";"Tomáš";"CK Continental Frenštát p. R.  2";0;0;0;0;0;0
"BODY";"Marcel";"Novatop Lapierre";0;17;0;0;0;0
"Bollo";"Roman";"YOGI Racing Ostrava 1";27;0;0;0;0;24
"CIELUCH";"Marcin";"SKY";60;0;0;0;0;0
"Èervenı";"Lukáš";"Cykloservis MB";0;25;0;0;0;20
"Dohnal";"Tomáš";"Cyklokramo Suchdol nad Odrou ""B""";0;0;0;0;0;0
"DOMANSKI";"Libor";"Bøeany";35;0;0;0;0;0
"Duík";"Artur";"Cykloservis MB";0;0;0;0;0;0
"Foltın";"Jiøí";"CK Kolík Hobby Bohumín ""A""";29;33;29;0;28;0
"Fryc";"Bohdan";"A Bike Club Ostrava ""A""";0;16;30;0;23;23
"Gierc";"David";;0;22;0;0;0;0
"GORAUS";"Tomasz";"Krupinski Suszec PRO-KAM";0;35;0;0;0;0
"Gruchala";"Vojtìch";"Triatlon klub Ostrava";0;0;0;0;0;0
"Harabiš";"Radim";"SK Valašského království";0;0;0;0;0;0
"HEINRICH";"Lukáš";"BikeStyle.cz";36;60;0;0;55;50
"Hlawiczka";"Martin";"Skvìlá kola-TJ T Tøinec""A""";38;34;38;0;33;33
"Holona";"Martin";"HPEL TEAM";26;0;0;0;21;0
"HUDEÈEK";"Petr";"Forman Cinelli";0;24;0;0;0;0
"Chamrád";"Jiøí";;48;40;0;0;48;44
"CHOCHOLÁÈ";"Jiøí";"Rafani Valmez";"DNF";29;0;0;60;0
"JANOUŠEK";"Jiøí";"CK Brno";31;0;0;0;0;0
"Javorek";"Petr";"CK Feso Petøvald";0;46;55;0;0;55
"Jirásek";"Josef";"SK MAXBIKE Ostrava";0;0;0;0;0;25
"Jureèka";"Roman";"CK Continental Frenštát p.R.  1";30;30;34;0;27;0
"KAJNAR";"Tomáš";"Nutrend Specialized";55;0;0;0;29;0
"KAPLON ";"Julian";"Gliwice";0;12;0;0;0;0
"KARMELITA ";"Tomáš";"Lokomotiva Krnov";0;0;33;0;0;0
"KAVAN ";"Ondøej";"Novatop Lapierre";0;0;0;0;30;30
